"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/03/2015","Pending Authorization P","Pending DEBIT AUTHORIZATION Feb03 06:24p 6352 AT 18:24 EAST VILLAGE CHEES NEW YORK","12.79","debit","Uncategorized","Student Checking","",""
"2/03/2015","Pending Authorization P","Pending DEBIT AUTHORIZATION Feb03 01:53p 6352 AT 13:53 KUKU CANTEEN NEW YORK NY","7.35","debit","Uncategorized","Student Checking","",""
"1/31/2015","Pending C Cambridge 31 Grafton Street","Pending DEBIT PURCHASE Jan31 10:31p 6352 AT 22:31 GRAFTON STREET - C CAMBRIDGE","12.00","debit","Restaurants","Student Checking","","great cocktail"
"1/30/2015","Sol Azteca","Pending DEBIT PURCHASE Jan30 11:21p 6352 AT 23:21 Sol Azteca Boston MA","59.76","debit","Restaurants","Student Checking","","Jamie!!"
"1/29/2015","Uniqlo","Pending DEBIT PURCHASE Jan29 04:19p 6352 $39.90PUR/$34.80PAUT UNIQLO SOHO US0030","34.80","debit","Clothing","Student Checking","Reimbursable","chinos"
"1/29/2015","Lucky Star","Pending DEBIT PURCHASE Jan29 05:21p 6352 AT 17:21 LUCKY STAR BUS - O BOSTON","20.50","debit","Groceries","Student Checking","","to Boston"
"2/03/2015","Webassign","DEBIT PURCHASE PAYPAL *WEBASSIGN      800955827","119.76","debit","Uncategorized","Student Checking","",""
"2/03/2015","Sol Azteca","DEBIT PURCHASE Sol Azteca             Boston","70.00","debit","Restaurants","Student Checking","",""
"2/03/2015","Citibank ATM Withdrawal","Citibank ATM Withdrawal","40.00","debit","Cash & ATM","Student Checking","",""
"2/03/2015","Lucky Star","DEBIT PURCHASE LUCKY STAR BUS         BOSTON","25.00","debit","Travel","Student Checking","","from Boston"
"2/03/2015","Grafton Street Cambr","DEBIT PURCHASE GRAFTON STREET - CAMBR CAMBRIDGE","14.02","debit","Uncategorized","Student Checking","",""
"2/03/2015","Pin Westside Market","DEBIT PIN PURCHASE WESTSIDE MARKET        NEW YORK","12.49","debit","Groceries","Student Checking","",""
"2/02/2015","Misaki Sushi Buffet","DEBIT PURCHASE MISAKI SUSHI BUFFET    MANCHESTE","6.21","debit","Restaurants","Student Checking","",""
"2/02/2015","Pin Warehouse Wines","DEBIT PIN PURCHASE WAREHOUSE WINES N SP   NEW YORK","7.61","debit","Alcohol & Bars","Student Checking","",""
"2/02/2015","Pin Warehouse Wines","DEBIT PIN PURCHASE WAREHOUSE WINES N SP   NEW YORK","8.70","debit","Alcohol & Bars","Student Checking","",""
"2/02/2015","Lucky","DEBIT PURCHASE LUCKY STAR BUS         061734828","20.50","debit","Groceries","Student Checking","",""
"2/02/2015","Uniqlo Soho Us","DEBIT PURCHASE UNIQLO SOHO US0030     NEW YORK","34.80","debit","Uncategorized","Student Checking","",""
"2/02/2015","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","200.00","credit","Transfer","Student Checking","",""
"1/29/2015","Whole Foods","DEBIT PIN PURCHASE WHOLEFDS HOU 102 95 EasNew York","9.23","debit","Groceries","Student Checking","",""
"1/29/2015","Transfer from Day-to-Day Savings","ONLINE + TRANSFER FROM SAVI ONLINE                     Reference#","200.00","credit","Transfer","Student Checking","",""
"1/23/2015","Transfer to Day-to-Day Savings","ONLINE - TRANSFER TO SAVING ONLINE                     Reference#","90.01","debit","Transfer","Student Checking","",""
"1/22/2015","AirTran","DEBIT PIN PURCHASE METROCARD VALUE @ AIRTRNEW YORK","6.00","debit","Air Travel","Student Checking","Reimbursable",""
"1/22/2015","MTA","DEBIT PIN PURCHASE MTA VENDING MACHINES   NEW YORK","2.75","debit","Public Transportation","Student Checking","Reimbursable",""
