"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"2/02/2015","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI Reference # 003100","200.00","debit","Transfer","Day-to-Day Savings","",""
"1/29/2015","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI Reference # 006098","200.00","debit","Transfer","Day-to-Day Savings","",""
"1/27/2015","Interest","INTEREST","0.03","credit","Interest Income","Day-to-Day Savings","",""
"1/23/2015","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC Reference # 006186","90.01","credit","Transfer","Day-to-Day Savings","",""
"1/20/2015","Transfer to Citi MasterCard","ONLINE - TRANSFER TO MASTER Reference # 000476","0.01","debit","Credit Card Payment","Day-to-Day Savings","",""
"1/02/2015","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","100.03","debit","Transfer","Day-to-Day Savings","",""
"12/26/2014","Interest Interest Earned","INTEREST INTEREST EARNED","0.03","credit","Interest Income","Day-to-Day Savings","","Woo!"
"12/26/2014","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC TFR IN   0063602ONLINE   Reference#    3","280.00","credit","Transfer","Day-to-Day Savings","",""
"12/24/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","50.00","debit","Transfer","Day-to-Day Savings","",""
"12/22/2014","ATM Deposit","ATM DEPOSIT","60.00","credit","Income","Day-to-Day Savings","",""
"12/22/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0080701         Reference#    0","150.00","credit","Transfer","Day-to-Day Savings","",""
"12/17/2014","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC TFR IN   0063602ONLINE   Reference#    3","300.00","credit","Transfer","Day-to-Day Savings","",""
"12/16/2014","Withdrawal Citi Na","ACH Electronic Debit WITHDRAWAL      CITI NA SECURE","500.00","debit","Credit Card Payment","Day-to-Day Savings","","credit card"
"12/15/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","30.00","debit","Transfer","Day-to-Day Savings","",""
"12/12/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063605ONLINE   Reference#    3","200.00","debit","Transfer","Day-to-Day Savings","",""
"12/12/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","200.00","debit","Transfer","Day-to-Day Savings","",""
"12/09/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0005102         Reference#    5","300.00","credit","Transfer","Day-to-Day Savings","",""
"12/05/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0080304         Reference#    0","399.98","credit","Transfer","Day-to-Day Savings","",""
"12/01/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","100.00","debit","Transfer","Day-to-Day Savings","",""
"11/28/2014","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC TFR IN   0063602ONLINE   Reference#    3","200.00","credit","Transfer","Day-to-Day Savings","",""
"11/26/2014","Interest Interest Earned","INTEREST INTEREST EARNED","0.02","credit","Interest Income","Day-to-Day Savings","",""
"11/25/2014","Transfer from Student Checking","ATM DEPOSIT","1000.00","credit","Transfer","Day-to-Day Savings","",""
"11/25/2014","Transfer to Student Checking","TRANSFER TO CHECKING TFR OUT  0005102         Reference#    5","1000.00","debit","Transfer","Day-to-Day Savings","",""
"11/24/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0080304         Reference#    0","200.00","credit","Transfer","Day-to-Day Savings","",""
"11/20/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","200.00","debit","Transfer","Day-to-Day Savings","",""
"11/19/2014","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC TFR IN   0063602ONLINE   Reference#    3","200.00","credit","Transfer","Day-to-Day Savings","",""
"11/12/2014","Transfer to Student Checking","ONLINE - TRANSFER TO CHECKI TFR OUT  0063602ONLINE   Reference#    3","100.00","debit","Transfer","Day-to-Day Savings","",""
"11/12/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0080302         Reference#    0","300.00","credit","Transfer","Day-to-Day Savings","",""
"10/31/2014","Transfer from Student Checking","ONLINE + TRANSFER FROM CHEC TFR IN   0063602ONLINE   Reference#    3","500.00","credit","Transfer","Day-to-Day Savings","",""
"10/30/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0005103         Reference#    5","1500.00","credit","Transfer","Day-to-Day Savings","",""
"10/30/2014","Transfer from Student Checking","TRANSFER FROM CHECKING TFR IN   0005103         Reference#    5","500.00","credit","Transfer","Day-to-Day Savings","",""
